CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,TenureSegment,ChargeCategory,ContractRisk,RevenueLost
CUST00001,Male,No,No,Yes,29,Yes,No,Month-to-month,Electronic check,79.05,2245.63,Yes,1,25-48 Months,High (70-90),High Risk,79.05
CUST00002,Male,No,Yes,No,29,No,No,Month-to-month,Electronic check,95.88,2746.49,Yes,1,25-48 Months,Premium (90+),High Risk,95.88
CUST00003,Female,No,Yes,No,14,Yes,Fiber optic,Month-to-month,Bank transfer,80.37,1155.89,Yes,1,13-24 Months,High (70-90),High Risk,80.37
CUST00004,Male,Yes,Yes,No,47,Yes,No,Month-to-month,Mailed check,97.31,4622.09,No,0,25-48 Months,Premium (90+),High Risk,0.0
CUST00005,Male,Yes,No,No,47,Yes,Fiber optic,Month-to-month,Bank transfer,90.18,4256.81,Yes,1,25-48 Months,Premium (90+),High Risk,90.18
CUST00006,Male,No,Yes,No,49,No,No,One year,Mailed check,88.46,4368.83,No,0,49+ Months (Loyal),High (70-90),Medium Risk,0.0
CUST00007,Male,No,No,No,35,Yes,DSL,Two year,Bank transfer,41.26,1444.02,No,0,25-48 Months,Medium (40-70),Low Risk,0.0
CUST00008,Female,No,No,Yes,32,No,No,Month-to-month,Credit card,56.2,1848.13,Yes,1,25-48 Months,Medium (40-70),High Risk,56.2
CUST00009,Female,No,Yes,Yes,20,Yes,No,Month-to-month,Electronic check,58.48,1179.19,Yes,1,13-24 Months,Medium (40-70),High Risk,58.48
CUST00010,Female,No,Yes,No,44,Yes,Fiber optic,Month-to-month,Credit card,20.32,916.29,No,0,25-48 Months,Low (<40),High Risk,0.0
CUST00011,Male,No,No,Yes,20,No,DSL,Month-to-month,Electronic check,79.89,1596.66,Yes,1,13-24 Months,High (70-90),High Risk,79.89
CUST00012,Female,Yes,Yes,Yes,31,Yes,DSL,One year,Electronic check,117.8,3655.07,Yes,1,25-48 Months,Premium (90+),Medium Risk,117.8
CUST00013,Female,No,No,No,28,Yes,No,Month-to-month,Bank transfer,63.81,1788.44,Yes,1,25-48 Months,Medium (40-70),High Risk,63.81
CUST00014,Male,No,No,Yes,71,Yes,No,Month-to-month,Electronic check,90.78,6401.27,Yes,1,49+ Months (Loyal),Premium (90+),High Risk,90.78
CUST00015,Male,Yes,Yes,Yes,36,No,DSL,Month-to-month,Credit card,44.3,1592.1,Yes,1,25-48 Months,Medium (40-70),High Risk,44.3
CUST00016,Male,No,No,No,55,No,Fiber optic,Two year,Electronic check,87.34,4852.12,Yes,1,49+ Months (Loyal),High (70-90),Low Risk,87.34
CUST00017,Female,Yes,Yes,Yes,25,Yes,No,Month-to-month,Credit card,38.35,955.01,No,0,25-48 Months,Low (<40),High Risk,0.0
CUST00018,Male,Yes,Yes,Yes,70,Yes,DSL,Two year,Mailed check,36.63,2562.66,No,0,49+ Months (Loyal),Low (<40),Low Risk,0.0
CUST00019,Female,No,Yes,No,1,No,Fiber optic,Two year,Credit card,48.52,68.18,No,0,0-12 Months (New),Medium (40-70),Low Risk,0.0
CUST00020,Female,No,Yes,No,28,Yes,No,One year,Electronic check,94.8,2610.12,No,0,25-48 Months,Premium (90+),Medium Risk,0.0
CUST00021,Male,No,Yes,Yes,9,Yes,No,Two year,Credit card,31.99,326.94,Yes,1,0-12 Months (New),Low (<40),Low Risk,31.99
CUST00022,Male,No,No,No,34,Yes,No,One year,Mailed check,46.56,1546.13,No,0,25-48 Months,Medium (40-70),Medium Risk,0.0
CUST00023,Female,Yes,Yes,Yes,59,Yes,DSL,Month-to-month,Bank transfer,33.25,1946.65,Yes,1,49+ Months (Loyal),Low (<40),High Risk,33.25
CUST00024,Male,Yes,No,Yes,57,No,No,Two year,Electronic check,86.79,4952.49,No,0,49+ Months (Loyal),High (70-90),Low Risk,0.0
CUST00025,Male,No,No,Yes,14,Yes,Fiber optic,Month-to-month,Mailed check,91.76,1255.0,Yes,1,13-24 Months,Premium (90+),High Risk,91.76
CUST00026,Female,Yes,No,Yes,12,No,Fiber optic,Month-to-month,Bank transfer,97.11,1179.03,Yes,1,0-12 Months (New),Premium (90+),High Risk,97.11
CUST00027,Female,Yes,Yes,Yes,10,Yes,No,Month-to-month,Bank transfer,78.25,747.31,Yes,1,0-12 Months (New),High (70-90),High Risk,78.25
CUST00028,Female,Yes,Yes,No,27,Yes,No,Month-to-month,Credit card,117.38,3194.21,No,0,25-48 Months,Premium (90+),High Risk,0.0
CUST00029,Male,No,Yes,No,4,Yes,No,Two year,Credit card,100.22,437.29,No,0,0-12 Months (New),Premium (90+),Low Risk,0.0
CUST00030,Female,No,Yes,No,5,No,DSL,Month-to-month,Credit card,54.97,306.9,No,0,0-12 Months (New),Medium (40-70),High Risk,0.0
CUST00031,Male,No,Yes,No,43,No,DSL,Two year,Bank transfer,55.11,2370.67,No,0,25-48 Months,Medium (40-70),Low Risk,0.0
CUST00032,Female,No,Yes,No,23,No,DSL,Month-to-month,Credit card,54.57,1283.75,Yes,1,13-24 Months,Medium (40-70),High Risk,54.57
CUST00033,Male,Yes,Yes,No,6,No,DSL,Month-to-month,Mailed check,56.42,295.52,Yes,1,0-12 Months (New),Medium (40-70),High Risk,56.42
CUST00034,Female,Yes,Yes,No,65,No,No,Month-to-month,Credit card,89.72,5837.24,Yes,1,49+ Months (Loyal),High (70-90),High Risk,89.72
CUST00035,Female,No,No,No,71,Yes,Fiber optic,Month-to-month,Credit card,98.58,7009.85,Yes,1,49+ Months (Loyal),Premium (90+),High Risk,98.58
CUST00036,Female,Yes,Yes,No,22,Yes,Fiber optic,Month-to-month,Bank transfer,29.34,690.68,Yes,1,13-24 Months,Low (<40),High Risk,29.34
CUST00037,Female,No,Yes,Yes,4,Yes,DSL,Two year,Electronic check,65.54,300.77,No,0,0-12 Months (New),Medium (40-70),Low Risk,0.0
CUST00038,Female,Yes,No,Yes,19,Yes,DSL,One year,Mailed check,37.59,760.01,No,0,13-24 Months,Low (<40),Medium Risk,0.0
CUST00039,Male,No,Yes,No,18,No,No,Month-to-month,Bank transfer,115.0,2109.14,Yes,1,13-24 Months,Premium (90+),High Risk,115.0
CUST00040,Female,Yes,Yes,No,58,No,DSL,One year,Bank transfer,96.58,5603.77,No,0,49+ Months (Loyal),Premium (90+),Medium Risk,0.0
CUST00041,Female,Yes,Yes,No,31,No,Fiber optic,Month-to-month,Electronic check,33.84,1022.17,Yes,1,25-48 Months,Low (<40),High Risk,33.84
CUST00042,Male,No,No,No,43,No,Fiber optic,Month-to-month,Credit card,58.95,2561.83,No,0,25-48 Months,Medium (40-70),High Risk,0.0
CUST00043,Male,Yes,No,Yes,46,No,Fiber optic,Two year,Credit card,73.82,3419.18,No,0,25-48 Months,High (70-90),Low Risk,0.0
CUST00044,Male,Yes,Yes,No,56,No,DSL,Month-to-month,Credit card,92.42,5209.57,No,0,49+ Months (Loyal),Premium (90+),High Risk,0.0
CUST00045,Male,Yes,Yes,Yes,55,Yes,Fiber optic,Month-to-month,Bank transfer,57.91,3156.22,Yes,1,49+ Months (Loyal),Medium (40-70),High Risk,57.91
CUST00046,Female,Yes,No,No,11,No,DSL,One year,Electronic check,119.99,1304.89,No,0,0-12 Months (New),Premium (90+),Medium Risk,0.0
CUST00047,Male,No,Yes,Yes,3,Yes,DSL,Month-to-month,Electronic check,76.4,201.0,Yes,1,0-12 Months (New),High (70-90),High Risk,76.4
CUST00048,Female,No,Yes,Yes,40,Yes,No,Month-to-month,Bank transfer,77.58,3144.0,Yes,1,25-48 Months,High (70-90),High Risk,77.58
CUST00049,Male,No,Yes,Yes,39,Yes,No,One year,Bank transfer,73.27,2873.68,Yes,1,25-48 Months,High (70-90),Medium Risk,73.27
CUST00050,Female,No,No,No,14,No,Fiber optic,One year,Credit card,90.73,1263.77,No,0,13-24 Months,Premium (90+),Medium Risk,0.0
CUST00051,Female,Yes,No,No,35,No,DSL,One year,Electronic check,47.89,1671.23,No,0,25-48 Months,Medium (40-70),Medium Risk,0.0
CUST00052,Female,Yes,Yes,No,42,Yes,Fiber optic,Month-to-month,Bank transfer,54.03,2307.29,No,0,25-48 Months,Medium (40-70),High Risk,0.0
CUST00053,Female,No,Yes,Yes,31,No,Fiber optic,Month-to-month,Mailed check,89.06,2775.45,Yes,1,25-48 Months,High (70-90),High Risk,89.06
CUST00054,Male,No,No,Yes,52,Yes,Fiber optic,One year,Bank transfer,67.33,3504.25,No,0,49+ Months (Loyal),Medium (40-70),Medium Risk,0.0
CUST00055,Female,Yes,No,No,40,No,DSL,Month-to-month,Mailed check,51.55,2086.29,No,0,25-48 Months,Medium (40-70),High Risk,0.0
CUST00056,Male,No,Yes,No,36,No,DSL,One year,Bank transfer,42.75,1506.94,Yes,1,25-48 Months,Medium (40-70),Medium Risk,42.75
CUST00057,Male,Yes,Yes,Yes,71,No,No,Two year,Credit card,30.26,2099.69,No,0,49+ Months (Loyal),Low (<40),Low Risk,0.0
CUST00058,Female,Yes,No,Yes,7,No,Fiber optic,Month-to-month,Electronic check,60.07,377.9,Yes,1,0-12 Months (New),Medium (40-70),High Risk,60.07
CUST00059,Male,No,Yes,No,11,Yes,DSL,Month-to-month,Credit card,80.63,916.0,Yes,1,0-12 Months (New),High (70-90),High Risk,80.63
CUST00060,Female,Yes,No,No,55,No,No,One year,Electronic check,114.76,6282.58,Yes,1,49+ Months (Loyal),Premium (90+),Medium Risk,114.76
